Date,Day,Base_Total,Events_Adj,Final_Total,Lollapalooza_Active,Grant Park North_Base,Grant Park North_Final,Grant Park North_Boost,Grant Park South_Base,Grant Park South_Final,Grant Park South_Boost,Millennium_Base,Millennium_Final,Millennium_Boost,Lakeside_Base,Lakeside_Final,Lakeside_Boost,Major_Events
2025-08-02,Saturday,136892.28,3.0,410676.83,True,44206.71,132620.14,88413.43000000002,17923.21,53769.62,35846.41,10459.42,31378.26,20918.839999999997,26565.24,79695.71,53130.47,Beauty & The Beast; Lollapolooza
2025-08-03,Sunday,116592.44,3.0,349777.32,True,37667.03,113001.09,75334.06,13635.6,40906.81,27271.21,9632.7,28898.09,19265.39,19659.16,58977.47,39318.31,Lollapolooza; Live On the Lake!
2025-08-04,Monday,75114.33,1.772,133093.2,False,24964.99,44234.84,19269.849999999995,9068.49,16068.23,6999.74,6747.37,11955.49,5208.12,12794.92,22671.01,9876.089999999998,"Millennium Park Summer Music Series:
Orchestra Resavoir
Isaiah Collier
DJs Sonny Daze & King Hippo; Barack Obama Day (observed)"
2025-08-05,Tuesday,67311.49,1.75,117817.25,False,21265.03,37220.79,15955.760000000002,8945.68,15657.89,6712.209999999999,8662.44,15162.13,6499.689999999999,10979.74,19218.16,8238.42,"Millennium Park Summer Film Series:
My Best Friendâ€™s Wedding; Death Cab for Cutie"
2025-08-06,Wednesday,74095.81,3.0,222287.43,False,22293.07,66879.22,44586.15,10019.73,30059.2,20039.47,9184.13,27552.39,18368.260000000002,12693.62,38080.87,25387.25,Death Cab for Cutie; Parade
2025-08-07,Thursday,81442.37,1.75,142550.95,False,25851.65,45248.9,19397.25,11627.08,20351.22,8724.140000000001,7308.48,12792.25,5483.77,14325.05,25073.55,10748.5,"Parade; Millennium Park Summer Music Series Ends:
Ten City
Caramelo Haze
DJ Emmaculate"
2025-08-08,Friday,90465.42,1.905,172347.49,False,31100.63,59250.43,28149.8,11052.14,21055.65,10003.510000000002,6506.56,12395.78,5889.22,17934.5,34167.37,16232.870000000003,Parade; Live On the Lake!
